Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
C2B,Airlines,Online,Silver Plan,105,SINGAPORE,297.05,74.26,24,1
EPX,Travel Agency,Online,Other_Product,3,VIET NAM,20.0,0.0,39,1
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,22.5,5.63,23,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,INDONESIA,22.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,223,PHILIPPINES,20.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,53.5,13.38,49,1
C2B,Airlines,Online,Silver Plan,26,SINGAPORE,35.5,8.88,34,1
JZI,Airlines,Online,Basic Plan,55,CHINA,26.0,9.1,37,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,JAPAN,39.6,23.76,21,1
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,29.5,7.38,38,1
C2B,Airlines,Online,Bronze Plan,78,SINGAPORE,101.0,25.25,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,80,UNITED STATES,103.0,0.0,29,1
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,56.5,14.13,20,1
EPX,Travel Agency,Online,Cancellation Plan,4,Other_Destination,11.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,21,VIET NAM,20.0,0.0,55,1
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,21.0,5.25,28,1
C2B,Airlines,Online,Bronze Plan,158,SINGAPORE,238.0,59.5,30,1
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,45.5,11.38,54,1
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,19.2,4.8,41,1
EPX,Travel Agency,Online,Cancellation Plan,6,JAPAN,17.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,27.75,6.94,43,1
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,93.6,23.4,65,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,49,ITALY,84.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,CHINA,40.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,16.0,4.0,39,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,44,AUSTRALIA,69.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,53.5,13.38,24,1
C2B,Airlines,Online,Annual Silver Plan,370,SINGAPORE,252.85,63.21,31,1
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,54.5,13.63,30,1
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,252.85,63.21,32,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49,UNITED KINGDOM,118.8,71.28,27,1
C2B,Airlines,Online,Annual Silver Plan,372,SINGAPORE,187.85,46.96,45,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,39,1
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,29.5,7.38,45,1
C2B,Airlines,Online,Annual Silver Plan,384,SINGAPORE,216.0,54.0,31,1
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,17.55,4.39,35,1
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,17.55,4.39,24,1
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,45.5,11.38,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,47,"KOREA, REPUBLIC OF",42.0,0.0,23,1
LWC,Travel Agency,Online,Other_Product,3,MALAYSIA,27.0,17.55,32,1
LWC,Travel Agency,Online,Other_Product,10,JAPAN,36.5,23.73,33,1
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,47.5,11.88,33,1
EPX,Travel Agency,Online,Cancellation Plan,15,JAPAN,37.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,379,SINGAPORE,252.85,63.21,45,1
C2B,Airlines,Online,Silver Plan,41,SINGAPORE,47.5,11.88,29,1
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,13.5,3.38,22,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,38,UNITED KINGDOM,49.5,29.7,25,1
C2B,Airlines,Online,Annual Silver Plan,381,SINGAPORE,252.85,63.21,42,1
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,72.0,18.0,71,1
JZI,Airlines,Online,Basic Plan,14,THAILAND,18.0,6.3,44,1
C2B,Airlines,Online,Annual Silver Plan,370,SINGAPORE,216.0,54.0,30,1
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,291.75,72.94,53,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,161.0,40.25,37,1
C2B,Airlines,Online,Bronze Plan,109,SINGAPORE,231.0,57.75,65,1
C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,65.65,16.41,28,1
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,47.0,11.75,63,1
C2B,Airlines,Online,Bronze Plan,43,SINGAPORE,33.5,8.38,29,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,252.85,63.21,29,1
KML,Travel Agency,Online,Other_Product,17,INDONESIA,28.0,10.64,48,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,36,1
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,72.0,18.0,33,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,37,AUSTRALIA,19.8,11.88,29,1
C2B,Airlines,Online,Silver Plan,104,SINGAPORE,172.25,43.06,27,1
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,216.0,54.0,48,1
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,23.5,5.88,29,1
EPX,Travel Agency,Online,Cancellation Plan,25,Other_Destination,73.0,0.0,25,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,38,AUSTRALIA,69.3,41.58,40,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,59.4,35.64,50,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,187.85,46.96,37,1
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,33,1
JZI,Airlines,Online,Basic Plan,27,INDONESIA,22.0,7.7,39,1
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,62.0,15.5,28,1
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,34.5,8.63,24,1
EPX,Travel Agency,Online,Other_Product,61,Other_Destination,56.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,381,SINGAPORE,193.2,48.3,29,1
C2B,Airlines,Online,Silver Plan,56,SINGAPORE,81.5,20.38,50,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,46,AUSTRALIA,49.5,29.7,30,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,187.85,46.96,37,1
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,60.0,15.0,31,1
C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,252.85,63.21,34,1
C2B,Airlines,Online,Annual Silver Plan,375,SINGAPORE,280.8,70.2,68,1
LWC,Travel Agency,Online,Other_Product,37,HONG KONG,42.0,27.3,54,1
EPX,Travel Agency,Online,Cancellation Plan,22,CHINA,29.0,0.0,36,1
EPX,Travel Agency,Online,Cancellation Plan,57,UNITED STATES,65.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,20.0,5.0,29,1
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,62.0,15.5,28,1
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,30.0,7.5,27,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,40,1
LWC,Travel Agency,Online,Other_Product,15,HONG KONG,42.0,27.3,54,1
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,252.85,63.21,36,1
C2B,Airlines,Online,Other_Product,6,SINGAPORE,33.5,8.38,51,1
C2B,Airlines,Online,Silver Plan,46,SINGAPORE,35.4,8.85,49,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,20.0,5.0,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,UNITED STATES,95.0,0.0,30,1
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,47.0,11.75,57,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,21.0,5.25,38,1
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,72.0,18.0,29,1
EPX,Travel Agency,Online,Cancellation Plan,95,PHILIPPINES,14.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,VIET NAM,20.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,70,"TAIWAN, PROVINCE OF CHINA",51.0,0.0,21,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,46,UNITED STATES,112.0,0.0,50,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,AUSTRALIA,99.0,59.4,31,1
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,29.5,7.38,52,1
JZI,Airlines,Online,Other_Product,113,UNITED STATES,164.0,57.4,35,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,36,1
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,23.5,5.88,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,101,CHINA,26.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,280.8,70.2,48,1
C2B,Airlines,Online,Annual Silver Plan,378,SINGAPORE,216.0,54.0,41,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,Other_Destination,9.9,5.94,47,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,74,ITALY,49.5,29.7,26,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,52,Other_Destination,112.0,0.0,61,1
C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,216.0,54.0,32,1
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,82.55,20.64,28,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,AUSTRALIA,39.6,23.76,57,1
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,42,1
C2B,Airlines,Online,Other_Product,16,SINGAPORE,88.0,22.0,39,1
C2B,Airlines,Online,Silver Plan,55,SINGAPORE,109.0,27.25,36,1
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,50.0,12.5,36,1
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,60.0,15.0,45,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,27.0,6.75,64,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,CHINA,43.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,259.2,64.8,69,1
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,33.5,8.38,54,1
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,26.5,6.63,27,1
C2B,Airlines,Online,Silver Plan,68,SINGAPORE,127.0,31.75,34,1
C2B,Airlines,Online,Silver Plan,74,SINGAPORE,88.5,22.13,61,1
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,29.5,7.38,51,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,232,JAPAN,53.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,61,1
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,29.5,7.38,37,1
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,21.0,5.25,38,1
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,18.5,4.63,28,1
C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,187.85,46.96,28,1
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,29.5,7.38,30,1
C2B,Airlines,Online,Other_Product,367,SINGAPORE,239.5,59.88,43,1
C2B,Airlines,Online,Other_Product,235,SINGAPORE,99.45,24.86,41,1
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,15.0,3.75,35,1
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,47.0,11.75,24,1
C2B,Airlines,Online,Annual Silver Plan,375,SINGAPORE,252.85,63.21,46,1
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,27.0,6.75,58,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,AUSTRALIA,69.3,41.58,26,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,56,Other_Destination,24.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,25.5,6.38,36,1
C2B,Airlines,Online,Silver Plan,57,SINGAPORE,88.5,22.13,34,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,259.2,64.8,25,1
EPX,Travel Agency,Online,Cancellation Plan,17,Other_Destination,60.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,90,JAPAN,46.0,0.0,36,1
EPX,Travel Agency,Online,Cancellation Plan,266,MALAYSIA,10.0,0.0,36,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,UNITED KINGDOM,29.7,17.82,24,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,41,UNITED KINGDOM,118.8,71.28,31,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,22,1
JZI,Airlines,Online,Basic Plan,70,CHINA,35.0,12.25,23,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,30,AUSTRALIA,99.0,59.4,52,1
C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,16.0,4.0,32,1
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,72.0,18.0,46,1
LWC,Travel Agency,Online,Other_Product,12,"TAIWAN, PROVINCE OF CHINA",36.5,23.73,65,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,UNITED KINGDOM,69.3,41.58,40,1
EPX,Travel Agency,Online,Cancellation Plan,61,Other_Destination,28.0,0.0,35,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,31,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,51,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,THAILAND,21.0,0.0,35,1
EPX,Travel Agency,Online,Other_Product,105,SINGAPORE,87.0,0.0,30,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,48,1
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,27.0,6.75,36,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,291.75,72.94,53,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,THAILAND,29.7,17.82,26,1
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,17,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,41,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,97,CHINA,41.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,145,SINGAPORE,94.5,23.63,24,1
EPX,Travel Agency,Online,Cancellation Plan,22,VIET NAM,17.0,0.0,32,1
C2B,Airlines,Online,Silver Plan,40,SINGAPORE,63.0,15.75,54,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,70,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,161.0,40.25,26,1
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,187.85,46.96,28,1
C2B,Airlines,Online,Silver Plan,62,SINGAPORE,62.4,15.6,21,1
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,216.0,54.0,43,1
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,29.5,7.38,32,1
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,22.5,5.63,29,1
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,16.0,4.0,32,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,28,1
C2B,Airlines,Online,Silver Plan,112,SINGAPORE,72.0,18.0,28,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,27.0,6.75,68,1
CSR,Travel Agency,Offline,Other_Product,77,THAILAND,29.0,9.57,69,1
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,22.1,5.53,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,CHINA,49.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,60.0,15.0,36,1
C2B,Airlines,Online,Silver Plan,28,SINGAPORE,39.0,9.75,59,1
C2B,Airlines,Online,Bronze Plan,53,SINGAPORE,60.0,15.0,33,1
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,33.5,8.38,32,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,303,Other_Destination,84.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,35,SINGAPORE,16.0,4.0,34,1
C2B,Airlines,Online,Bronze Plan,135,SINGAPORE,257.5,64.38,81,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,UNITED STATES,112.0,0.0,40,1
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,17.0,4.25,44,1
KML,Travel Agency,Online,Other_Product,27,INDONESIA,28.0,10.64,48,1
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,21.0,5.25,32,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,56,Other_Destination,145.0,0.0,36,1
C2B,Airlines,Online,Other_Product,64,SINGAPORE,207.0,51.75,17,1
EPX,Travel Agency,Online,Cancellation Plan,38,THAILAND,10.0,0.0,31,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,25.2,6.3,41,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,40,Other_Destination,79.2,47.52,35,1
C2B,Airlines,Online,Other_Product,100,SINGAPORE,105.6,26.4,48,1
C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,252.85,63.21,31,1
LWC,Travel Agency,Online,Other_Product,10,JAPAN,36.5,23.73,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,45,THAILAND,29.0,0.0,29,1
EPX,Travel Agency,Offline,2 way Comprehensive Plan,17,AUSTRALIA,68.0,0.0,55,1
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,40.0,10.0,27,1
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,40.5,10.13,23,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,75,CHINA,36.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,39,SINGAPORE,106.5,26.63,52,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,259.2,64.8,26,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,252.85,63.21,32,1
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,23.5,5.88,39,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,34,UNITED STATES,112.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,48,SINGAPORE,33.5,8.38,30,1
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,24.5,6.13,30,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,MALAYSIA,39.6,23.76,44,1
C2B,Airlines,Online,Bronze Plan,149,SINGAPORE,34.5,8.63,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,86,CHINA,44.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,Other_Destination,97.0,0.0,27,1
C2B,Airlines,Online,Bronze Plan,43,SINGAPORE,39.0,9.75,31,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,UNITED KINGDOM,29.7,17.82,37,1
JZI,Airlines,Online,Basic Plan,9,CHINA,26.0,9.1,57,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,5,"TAIWAN, PROVINCE OF CHINA",45.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,291.75,72.94,31,1
C2B,Airlines,Online,Other_Product,369,SINGAPORE,239.5,59.88,31,1
EPX,Travel Agency,Online,Cancellation Plan,39,THAILAND,10.0,0.0,52,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,75,CHINA,63.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,70,SINGAPORE,39.0,9.75,36,1
SSI,Airlines,Online,Other_Product,63,SINGAPORE,9.33,2.62,48,1
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,54.5,13.63,34,1
C2B,Airlines,Online,Silver Plan,66,SINGAPORE,86.4,21.6,32,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,THAILAND,49.5,29.7,31,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,49,1
C2B,Airlines,Online,Bronze Plan,42,SINGAPORE,94.0,23.5,28,1
JZI,Airlines,Online,Other_Product,25,Other_Destination,138.0,48.3,46,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,193.2,48.3,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,79,ITALY,52.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,48.5,12.13,27,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,Other_Destination,29.7,17.82,35,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,44,1
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,27.0,6.75,30,1
EPX,Travel Agency,Online,Other_Product,3,AUSTRALIA,50.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,40,THAILAND,20.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,50.5,12.63,71,1
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,39.0,9.75,64,1
C2B,Airlines,Online,Annual Silver Plan,398,SINGAPORE,252.85,63.21,55,1
EPX,Travel Agency,Online,Other_Product,67,MALAYSIA,20.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,UNITED STATES,112.0,0.0,42,1
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,27.0,6.75,72,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,72,1
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,43,1
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,16.0,4.0,21,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,27.0,6.75,37,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,UNITED STATES,112.0,0.0,58,1
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,23.5,5.88,36,1
JZI,Airlines,Online,Basic Plan,9,CHINA,26.0,9.1,47,1
C2B,Airlines,Online,Silver Plan,30,SINGAPORE,54.5,13.63,53,1
C2B,Airlines,Online,Other_Product,416,SINGAPORE,287.4,71.85,27,1
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,26.5,6.63,55,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,26.5,6.63,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,18,Other_Destination,36.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,49.5,12.38,34,1
C2B,Airlines,Online,Bronze Plan,62,SINGAPORE,51.0,12.75,23,1
JZI,Airlines,Online,Other_Product,7,THAILAND,33.0,11.55,49,1
C2B,Airlines,Online,Annual Silver Plan,385,SINGAPORE,216.0,54.0,28,1
C2B,Airlines,Online,Other_Product,379,SINGAPORE,278.85,69.71,23,1
EPX,Travel Agency,Online,Cancellation Plan,28,Other_Destination,10.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,259.2,64.8,41,1
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,27.0,6.75,26,1
SSI,Airlines,Online,Other_Product,2,SINGAPORE,7.15,2.0,48,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,120,CHINA,84.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,46.8,11.7,35,1
C2B,Airlines,Online,Silver Plan,100,SINGAPORE,42.0,10.5,52,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,THAILAND,39.6,23.76,32,1
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,216.0,54.0,34,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,Other_Destination,79.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,26.0,6.5,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,51,PHILIPPINES,20.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,25.2,6.3,39,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,"TAIWAN, PROVINCE OF CHINA",29.7,17.82,37,1
C2B,Airlines,Online,Annual Silver Plan,378,SINGAPORE,216.0,54.0,28,1
C2B,Airlines,Online,Annual Silver Plan,396,SINGAPORE,259.2,64.8,53,1
C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,216.0,54.0,35,1
JZI,Airlines,Online,Other_Product,46,UNITED STATES,138.0,48.3,56,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,HONG KONG,30.0,0.0,41,1
JZI,Airlines,Online,Basic Plan,11,VIET NAM,18.0,6.3,63,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,34.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,291.75,72.94,29,1
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,22.1,5.53,24,1
LWC,Travel Agency,Online,Other_Product,22,"KOREA, REPUBLIC OF",26.5,17.23,76,1
EPX,Travel Agency,Online,Cancellation Plan,21,MALAYSIA,12.0,0.0,26,1
EPX,Travel Agency,Online,Cancellation Plan,82,UNITED KINGDOM,57.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,CHINA,56.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,116,SINGAPORE,53.5,13.38,36,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,36,Other_Destination,69.3,41.58,28,1
LWC,Travel Agency,Online,Other_Product,17,MALAYSIA,37.5,24.38,23,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,34,SINGAPORE,33.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,74.4,18.6,27,1
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,48.5,12.13,42,1
C2B,Airlines,Online,Silver Plan,32,SINGAPORE,81.5,20.38,40,1
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,35.5,8.88,36,1
LWC,Travel Agency,Online,Other_Product,31,Other_Destination,76.5,49.73,34,1
SSI,Airlines,Online,Other_Product,28,SINGAPORE,9.13,2.56,48,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,30,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,47,1
KML,Travel Agency,Online,Other_Product,21,INDONESIA,38.0,14.44,48,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,THAILAND,20.0,0.0,32,1
JZI,Airlines,Online,Basic Plan,31,INDONESIA,18.0,6.3,44,1
C2B,Airlines,Online,Silver Plan,27,SINGAPORE,18.5,4.63,28,1
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,39.0,9.75,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,"KOREA, REPUBLIC OF",42.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,29,SINGAPORE,27.0,6.75,33,1
